Suppl Data 1: The results of the anderson-darling pairwise assessment of pathway trees under category distributions indicates significant difference in the relative Robinson-Foulds (RF) distance in taurine/cysteine metabolism category pathway genes versus both bile acid metabolism and fatty acid/cholesterol metabolism gene trees from their respective category-associated pathways.

"category_1","category_2","n_1","n_2","median_effect_1","median_effect_2","median_rf_1","median_rf_2","p_ad_effect","p_ad_rf","fdr_ad_effect","fdr_ad_rf"
"Bile acid biosynthesis & metabolism","Taurine and cysteine metabolism",31,28,118.493858,267.865369,0.0363636363636364,0.0699186991869919,0.7644,0.013053,0.903855555555556,0.088775
"Fatty acid & cholesterol metabolism","Taurine and cysteine metabolism",55,28,-130.510306,267.865369,0.0416666666666667,0.0699186991869919,0.98555,0.017755,0.98555,0.088775
"Bile acid biosynthesis & metabolism","Glycine metabolism",31,14,118.493858,97.0068330000004,0.0363636363636364,0.071265243902439,0.42869,0.044986,0.903855555555556,0.127825
"Fatty acid & cholesterol metabolism","Glycine metabolism",55,14,-130.510306,97.0068330000004,0.0416666666666667,0.071265243902439,0.75529,0.05113,0.903855555555556,0.127825
"Retinoid / vitamin A metabolism","Taurine and cysteine metabolism",14,28,452.659267,267.865369,0.0400641025641026,0.0699186991869919,0.37637,0.073883,0.903855555555556,0.147766
"Glycine metabolism","Retinoid / vitamin A metabolism",14,14,97.0068330000004,452.659267,0.071265243902439,0.0400641025641026,0.20873,0.12945,0.903855555555556,0.21575
"Glycine metabolism","Taurine and cysteine metabolism",14,28,97.0068330000004,267.865369,0.071265243902439,0.0699186991869919,0.81347,0.69987,0.903855555555556,0.9997
"Bile acid biosynthesis & metabolism","Retinoid / vitamin A metabolism",31,14,118.493858,452.659267,0.0363636363636364,0.0400641025641026,0.80742,0.9941,0.903855555555556,0.9997
"Fatty acid & cholesterol metabolism","Retinoid / vitamin A metabolism",55,14,-130.510306,452.659267,0.0416666666666667,0.0400641025641026,0.29726,0.99875,0.903855555555556,0.9997
"Bile acid biosynthesis & metabolism","Fatty acid & cholesterol metabolism",31,55,118.493858,-130.510306,0.0363636363636364,0.0416666666666667,0.73494,0.9997,0.903855555555556,0.9997
