gene_name|species_name|transcript_id|protein_id|isoform_status
AACS|aotus_nancymaae|ENSANAT00000036287|ENSANAP00000018424|alternative
AACS|aotus_nancymaae|ENSANAT00000036293|ENSANAP00000018430|canonical
AACS|callithrix_jacchus|ENSCJAT00000042071|ENSCJAP00000039821|canonical
AACS|callithrix_jacchus|ENSCJAT00000130939|ENSCJAP00000088430|alternative
AACS|carlito_syrichta|ENSTSYT00000042940|ENSTSYP00000026200|canonical
AACS|cercocebus_atys|ENSCATT00000040933|ENSCATP00000016771|canonical
AACS|cercocebus_atys|ENSCATT00000040942|ENSCATP00000016780|alternative
AACS|cercocebus_atys|ENSCATT00000040948|ENSCATP00000016786|alternative
AACS|chlorocebus_sabaeus|ENSCSAT00000016563|ENSCSAP00000016069|canonical
AACS|colobus_angolensis_palliatus|ENSCANT00000053557|ENSCANP00000030353|canonical
AACS|gorilla_gorilla|ENSGGOT00000001026|ENSGGOP00000001004|canonical
AACS|gorilla_gorilla|ENSGGOT00000030708|ENSGGOP00000026709|alternative
AACS|homo_sapiens|ENST00000316519|ENSP00000324842|canonical
AACS|homo_sapiens|ENST00000852617|ENSP00000522676|alternative
AACS|homo_sapiens|ENST00000852618|ENSP00000522677|alternative
AACS|homo_sapiens|ENST00000852619|ENSP00000522678|alternative
AACS|homo_sapiens|ENST00000852620|ENSP00000522679|alternative
AACS|homo_sapiens|ENST00000852621|ENSP00000522680|alternative
AACS|homo_sapiens|ENST00000852622|ENSP00000522681|alternative
AACS|homo_sapiens|ENST00000938196|ENSP00000608255|alternative
AACS|homo_sapiens|ENST00000938197|ENSP00000608256|alternative
AACS|homo_sapiens|ENST00000971006|ENSP00000641065|alternative
AACS|homo_sapiens|ENST00000971007|ENSP00000641066|alternative
AACS|homo_sapiens|ENST00000971008|ENSP00000641067|alternative
AACS|homo_sapiens|ENST00000971009|ENSP00000641068|alternative
AACS|homo_sapiens|ENST00000971010|ENSP00000641069|alternative
AACS|macaca_fascicularis|ENSMFAT00000063482|ENSMFAP00000013533|canonical
AACS|macaca_fascicularis|ENSMFAT00000063515|ENSMFAP00000013549|alternative
AACS|macaca_fascicularis|ENSMFAT00000063561|ENSMFAP00000013568|alternative
AACS|macaca_fascicularis|ENSMFAT00000073209|ENSMFAP00000051187|alternative
AACS|macaca_mulatta|ENSMMUT00000015538|ENSMMUP00000014552|alternative
AACS|macaca_mulatta|ENSMMUT00000082456|ENSMMUP00000065518|alternative
AACS|macaca_mulatta|ENSMMUT00000083968|ENSMMUP00000073576|alternative
AACS|macaca_mulatta|ENSMMUT00000087935|ENSMMUP00000075466|alternative
AACS|macaca_mulatta|ENSMMUT00000088336|ENSMMUP00000076180|canonical
AACS|macaca_mulatta|ENSMMUT00000091651|ENSMMUP00000075629|alternative
AACS|macaca_nemestrina|ENSMNET00000066159|ENSMNEP00000041660|canonical
AACS|microcebus_murinus|ENSMICT00000064376|ENSMICP00000050111|alternative
AACS|microcebus_murinus|ENSMICT00000067841|ENSMICP00000047682|canonical
AACS|nomascus_leucogenys|ENSNLET00000003428|ENSNLEP00000003265|canonical
AACS|nomascus_leucogenys|ENSNLET00000032693|ENSNLEP00000024329|alternative
AACS|pan_paniscus|ENSPPAT00000015962|ENSPPAP00000003458|canonical
AACS|pan_paniscus|ENSPPAT00000015969|ENSPPAP00000003462|alternative
AACS|pan_paniscus|ENSPPAT00000015975|ENSPPAP00000003465|alternative
